Source,Target,r,Weight
Bacterial 16S rRNA,S-Size-d(0.1),0.738720782,0.963689795
Bacterial 16S rRNA,S-Size-d(0.5),0.623502459,0.901416126
Bacterial 16S rRNA,HIX,-0.681878671,0.937495727
Archaeal 16S rRNA,W-COD,-0.624826336,0.902341047
AOB_amoA,W-T,-0.815903504,0.986476118
nxrA,S-Size-d(0.1),0.730341904,0.960358656
nxrA,HIX,-0.675871438,0.934221837
narG,S-Size-d(0.1),-0.71961826,0.955833209
narG,S-Size-d(0.5),-0.702087594,0.947788515
narG,FI,-0.881108805,0.996164368
narG,HIX,0.812210026,0.985688152
narG,W-pH,-0.675770319,0.93416588
narG,W-COD,-0.696043718,0.94482583
napA,W-T,-0.762652921,0.972241256
nirK,S-TN,-0.667817547,0.929676525
hzsA,W-T,0.783755503,0.978642767
hzsB,â…?Area,-0.629319865,0.905443114
hzsB,â…?Area,-0.623689322,0.901546981
hzsB,W-T,0.815006523,0.986287336
hzo,W-T,0.796230088,0.981948501
nifH,FI,-0.741064603,0.964589866
nifH,W-T,0.71001193,0.951525351
